,Active Humans,Active Bots,Deactivated Humans,Deactivated Bots,Average Human Satisfaction
125,142,1662,634,903,54.52933293862356
126,143,1673,638,915,52.91088004340257
127,140,1680,645,925,52.030554197040395
128,140,1690,648,932,49.99030519198102
129,139,1695,652,946,48.92803929545726
130,138,1705,656,958,47.73460596581432
131,132,1710,664,973,46.5861161031352
132,130,1718,670,984,47.00044977035918
133,126,1732,678,996,48.19193449706651
134,130,1743,681,1005,47.941035113364585
135,129,1754,689,1014,49.493469851288694
136,138,1772,694,1026,52.5484570093511
137,135,1784,701,1035,51.78563637549753
138,131,1799,706,1047,49.309387006344245
139,128,1814,711,1055,48.94953792123111
140,123,1822,719,1064,48.68518086799666
141,121,1835,724,1072,48.26143936247165
142,121,1843,727,1081,46.044402549016404
143,116,1858,734,1091,46.53768106721247
144,113,1865,742,1104,48.527196473394746
145,110,1873,746,1122,46.666567108237935
146,111,1878,748,1135,46.08631832030095
147,105,1893,757,1144,47.397715482735954
148,100,1907,764,1153,47.51639598284464
149,100,1911,766,1166,46.0964914889953
150,100,1925,772,1175,47.86731563323143
151,98,1942,778,1184,49.74327087234621
152,102,1950,783,1199,53.121450463808884
153,99,1955,789,1212,53.29032770495505
154,99,1960,793,1231,52.99919876600736
155,100,1970,798,1242,53.9267512194724
156,99,1976,802,1256,52.951276739823875
157,98,1979,805,1270,50.759995931711344
158,94,1992,811,1279,50.85131070314438
159,97,1994,812,1290,49.837291851627036
160,99,1994,817,1309,52.365982976524634
161,100,1991,821,1330,52.00824217709847
162,101,1988,824,1352,49.4155202194793
163,97,1992,832,1370,51.421159218391075
164,100,2001,833,1378,48.83981427185174
165,105,2004,834,1389,47.5235336492816
166,105,2011,840,1405,49.508290402322935
167,108,2014,844,1417,50.36621870491282
168,108,2017,848,1426,49.67661962700893
169,113,2024,852,1433,51.95104919207206
170,111,2042,858,1440,51.01008485332459
171,111,2048,864,1453,50.320786796531046
172,114,2061,866,1463,49.25120928001215
173,116,2058,871,1481,50.466367369707285
174,112,2069,881,1495,52.033305340663546
175,110,2077,888,1507,52.29623726840129
176,107,2091,896,1518,53.66053292926997
177,105,2107,901,1529,52.44578601161622
178,106,2115,904,1542,51.36380514306651
179,106,2126,909,1556,49.807808367574864
180,103,2130,914,1571,47.98675388667632
181,102,2139,919,1581,47.16356210210223
182,99,2144,927,1594,47.34284777633877
183,101,2153,931,1606,47.693685975510355
184,100,2163,937,1614,49.37271955742653
185,96,2172,945,1628,50.30764642065298
186,99,2177,948,1644,50.213736822378536
187,98,2185,955,1656,52.023779075532694
188,101,2183,957,1674,49.60566929885041
189,107,2189,963,1687,53.5879663070711
190,104,2187,968,1701,50.03700877740336
191,100,2185,976,1722,49.4375127012507
192,102,2186,979,1737,48.36673244059829
193,103,2200,983,1752,47.14149219519084
194,105,2212,988,1761,48.021584519248265
195,104,2219,991,1777,46.1441618591931
196,96,2226,1002,1794,47.618375120966554
197,99,2233,1007,1810,50.210994341885005
198,96,2233,1014,1832,50.38025186973829
199,96,2228,1020,1854,49.15959100297544
200,97,2227,1026,1871,48.10950684634706
201,95,2227,1033,1885,48.70452078331001
202,95,2234,1040,1896,51.190052244934215
203,94,2243,1046,1909,50.77762906624206
